iter	MultiClass
0	1.018074544
1	0.9478761797
2	0.8863955761
3	0.8316914683
4	0.7833161881
5	0.7391779631
6	0.6992938205
7	0.6629650289
8	0.6301047321
9	0.5997032966
10	0.5715268357
11	0.5459703728
12	0.5221370225
13	0.500268297
14	0.4797542808
15	0.460421637
16	0.4426628745
17	0.4259182388
18	0.4104327159
19	0.3959350597
20	0.3823837155
21	0.369627928
22	0.3576642163
23	0.3463842949
24	0.3358010895
25	0.3258985845
26	0.3163442012
27	0.3075396967
28	0.2991505295
29	0.2910376839
30	0.2834663269
31	0.276310697
32	0.2697744736
33	0.263408155
34	0.2573734339
35	0.251518439
36	0.2461733463
37	0.2410682455
38	0.2361945461
39	0.2314641116
40	0.2270034172
41	0.2227679653
42	0.2187503248
43	0.2148919102
44	0.2111152036
45	0.207753143
46	0.2043991951
47	0.2013629965
48	0.1983765811
49	0.1954923822
50	0.1927826454
51	0.1901801226
52	0.1876027243
53	0.1851846827
54	0.1828876374
55	0.1809327879
56	0.179124606
57	0.1772792128
58	0.1753696018
59	0.1735285719
60	0.1720183754
61	0.1704255446
62	0.1687874562
63	0.1671757078
64	0.1654688143
65	0.1640061552
66	0.1628014735
67	0.1613447471
68	0.1602703924
69	0.159232969
70	0.1580950069
71	0.1570820674
72	0.1560117563
73	0.1549961323
74	0.1539390639
75	0.1529224519
76	0.1520798435
77	0.1513695525
78	0.1505250789
79	0.149736263
80	0.1488627236
81	0.1481736747
82	0.1472922228
83	0.1465764617
84	0.1457969185
85	0.1453507272
86	0.1447989917
87	0.1442013645
88	0.1436336659
89	0.1428766472
90	0.1424388551
91	0.1419488485
92	0.1415678866
93	0.1409924402
94	0.1403817304
95	0.1398216962
96	0.1393027515
97	0.1387753529
98	0.1382883221
99	0.1378694031
100	0.1373627062
101	0.1368973696
102	0.1365489307
103	0.1362082576
104	0.1359073043
105	0.1352695163
106	0.1348228411
107	0.134376303
108	0.13401505
109	0.1336423423
110	0.1333727731
111	0.1330006942
112	0.1325173408
113	0.1321311263
114	0.1317789203
115	0.1313829121
116	0.1310493754
117	0.1308198948
118	0.1305106792
119	0.1302140472
120	0.1299643172
121	0.1297526698
122	0.1295701963
123	0.129416815
124	0.1292620675
125	0.1290045485
126	0.1287068976
127	0.1284833634
128	0.1282697997
129	0.1279644941
130	0.1277199746
131	0.1275000625
132	0.1272763034
133	0.1269749371
134	0.126779704
135	0.1265896833
136	0.1263526432
137	0.1260835597
138	0.1259015102
139	0.12563785
140	0.1254437494
141	0.1251510729
142	0.1248251745
143	0.1246020775
144	0.1244481109
145	0.1242857914
146	0.1241893028
147	0.1239587319
148	0.1237739216
149	0.1235312256
150	0.1233847917
151	0.1231838309
152	0.1230508531
153	0.1228858065
154	0.1227781433
155	0.122652382
156	0.1224044769
157	0.122213621
158	0.1219510079
159	0.1217972322
160	0.1216297076
161	0.1214604286
162	0.1213332908
163	0.1212501662
164	0.1211465668
165	0.1208805796
166	0.1207539852
167	0.1205355575
168	0.1203729361
169	0.1202416226
170	0.1200877555
171	0.1200018043
172	0.1199183557
173	0.1197960094
174	0.1196580852
175	0.1195656924
176	0.1194592629
177	0.1193004108
178	0.1192227796
179	0.1191042138
180	0.1189918423
181	0.118818693
182	0.1186884089
183	0.1185538954
184	0.1184609448
185	0.118334177
186	0.1181707898
187	0.1180979259
188	0.1179697782
189	0.1177972796
190	0.1177273677
191	0.1175853923
192	0.1175335935
193	0.1174549969
194	0.1173013369
195	0.1170944082
196	0.1169982036
197	0.1169542905
198	0.1168757722
199	0.1168036384
200	0.1167000027
201	0.116581299
202	0.1165257438
203	0.1164522821
204	0.1163702002
205	0.1162328819
206	0.1161475422
207	0.1160559932
208	0.115939418
209	0.1157964655
210	0.115680964
211	0.1155391192
212	0.1154644291
213	0.1153972187
214	0.11528997
215	0.1152141591
216	0.1151531097
217	0.1151048708
218	0.1150332912
219	0.1149333037
220	0.1148205811
221	0.1147221089
222	0.1146698794
223	0.1145697586
224	0.1144533524
225	0.1143716011
226	0.1143291059
227	0.114216391
228	0.1141296476
229	0.1140687043
230	0.1139744017
231	0.1138997888
232	0.113807927
233	0.1137589858
234	0.1136926914
235	0.113625586
236	0.1135809575
237	0.1134915519
238	0.1134047383
239	0.1132909565
240	0.1132418322
241	0.1131750422
242	0.1130889407
243	0.1129718171
244	0.112901202
245	0.1128511765
246	0.112747777
247	0.112603891
248	0.1125571548
249	0.1124929192
250	0.1124296048
251	0.112363369
252	0.1123067505
253	0.1122504904
254	0.1122050371
255	0.112148841
256	0.1121015897
257	0.1120458233
258	0.1120141483
259	0.1119148544
260	0.1118601419
261	0.1118017736
262	0.1117683098
263	0.111729508
264	0.1116996294
265	0.111613012
266	0.1115768741
267	0.1115181567
268	0.1114674942
269	0.1113268602
270	0.1112942273
271	0.1112462832
272	0.1112044489
273	0.1111573339
274	0.1111307781
275	0.110971217
276	0.1109033603
277	0.1107739855
278	0.1106832817
279	0.1106204687
280	0.1105756956
281	0.1104955983
282	0.1103939439
283	0.1103266614
284	0.1102854025
285	0.110147243
286	0.1101063159
287	0.1100330064
288	0.1099940437
289	0.1098565347
290	0.10980636
291	0.1097044606
292	0.1096766916
293	0.10962757
294	0.1095653104
295	0.1095098341
296	0.1094205065
297	0.1093158678
298	0.109264955
299	0.1092306358
300	0.1091786452
301	0.109124092
302	0.1090557537
303	0.1089974529
304	0.108968954
305	0.1089300792
306	0.108900771
307	0.1088544766
308	0.1088085943
309	0.1087272575
310	0.1086877252
311	0.1086623166
312	0.1086011843
313	0.10852524
314	0.1084468974
315	0.1083825846
316	0.1083220104
317	0.1082837692
318	0.10824904
319	0.1082294213
320	0.10819742
321	0.1080938835
322	0.1080596695
323	0.1080108666
324	0.1078942738
325	0.1078555615
326	0.1078284666
327	0.1077973563
328	0.1077678353
329	0.1077434065
330	0.1077231313
331	0.1076884538
332	0.1076575108
333	0.1076273657
334	0.1075880962
335	0.107534612
336	0.107508206
337	0.1074684414
338	0.1074407296
339	0.1073935907
340	0.1073517414
341	0.1073070823
342	0.1072788723
343	0.1072177413
344	0.1071756479
345	0.1071522373
346	0.107126583
347	0.107101497
348	0.1070280861
349	0.1069965264
350	0.1069631002
351	0.1068972495
352	0.106828206
353	0.1067134535
354	0.1066604168
355	0.1066247725
356	0.1065304049
357	0.1064745805
358	0.1064317368
359	0.1063915373
360	0.1063305644
361	0.1062609122
362	0.106238566
363	0.1062057141
364	0.1061370323
365	0.1061073909
366	0.1060706621
367	0.1060180744
368	0.1059832695
